"""Customer Provided Item"" cannot be Purchase Item also","""Felhasználó által közölt tétel"", egyben nem lehet Beszerezhető tétel is",
"""Customer Provided Item"" cannot have Valuation Rate","""Felhasználó által közölt tétel"" nem lehet Készletérték ára",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Ez álló-eszköz"" nem lehet kijelöletlen, mert Tárgyi eszköz rekord bejegyzés létezik ellen tételként",
%  Delivered,% kiszállítva,
% Amount Billed,% mennyiség számlázva,
% Billed,% számlázva,
% Complete Method,% befejező módszer,
% Completed,% kész,
% Installed,% telepítve,
% Of Grand Total,A teljes összeg% -a,
% Ordered,% Rendezve,
% Progress,% Haladás,
% Received,% fogadva,
% of materials billed against this Sales Order,% anyag tételek számlázva ehhez a Vevői Rendeléhez,
% of materials delivered against this Sales Order,% anyag tétel szállítva ehhez a Vevői Rendeléshez,
'Based On' and 'Group By' can not be same,Az 'Ez alapján' 'és a 'Csoport szerint' nem lehet azonos,
'Date' is required,A „dátum” kötelező,
'Days Since Last Order' must be greater than or equal to zero,"""Az utolsó rendelés óta eltelt napok""-nak nagyobbnak vagy egyenlőnek kell lennie nullával",
'Entries' cannot be empty,"""Bejegyzések"" nem lehet üres",
'From Date' is required,"""Dátumtól"" szükséges",
'From Date' must be after 'To Date',"a ""Dátumtól"" értéknek későbbinek kell lennie a ""Dátumig"" értéknél",
'Has Serial No' can not be 'Yes' for non-stock item,"""Van sorozatszáma"" nem lehet ""igen"" a nem-készletezett tételnél",
'Opening',"""Nyitás""",
'To Date' is required,"""Határidô"" szükséges",
'Update Stock' can not be checked because items are not delivered via {0},"'Készlet frissítés' nem ellenőrizhető, mert a tételek nem lettek elszállítva ezzel: {0}",
'Update Stock' cannot be checked for fixed asset sale,'Készlet frisítés' nem ellenőrizhető tárgyi eszköz értékesítésre,
(Forecast),(Előrejelzés),
(Hour Rate / 60) * Actual Operation Time,(Óra érték / 60) * aktuális üzemidő,
(including),(beleértve),
* Will be calculated in the transaction.,* A tranzakcióban lesz kiszámolva.,
1 Loyalty Points = How much base currency?,1 Hűségpontok = Mennyi alap pénznem?,
1 hr,1 óra,
2 Yearly,2  évente,
30 mins,30 perc,
6 hrs,6 óra,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},"<b>Az Idő</b> nem lehet későbbi, mint az <b>Idő</b> ({0})",
A BOM with name {0} already exists for item {1}.,A (z) {1} elemhez már létezik egy {0} nevű BOM.,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Egy vevő csoport létezik azonos névvel, kérjük változtassa meg a Vevő nevét vagy nevezze át a \nVevői csoportot",
A Lead requires either a person's name or an organization's name,"Az ólom vagy személy, vagy egy szervezet nevét igényli",
"A Product or a Service that is bought, sold or kept in stock.","A termék vagy szolgáltatás, amelyet vásárolt, eladott vagy tartanak raktáron.",
A condition for a Shipping Rule,Egy Szállítási szabály feltételei,
A customer with the same name already exists,Már létezik egy azonos nevű vásárló,
A logical Warehouse against which stock entries are made.,A logikai Raktárkészlet amelyhez a készlet állomány bejegyzések történnek.,
A new appointment has been created for you with {0},Új találkozót hoztak létre a következőkkel: {0},
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Egy forgalmazó / kereskedő / bizományos / társulat / viszonteladó harmadik fél, aki jutalákért eladja a vállalatok termékeit.",
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AMC Expiry Date,Éves karbantartási szerződés lejárati dátuma,
API,API,
API Endpoint,API végpont,
API Key,API kulcs,
Abbr,Röv.,
Abbreviation,Rövidítés,
Abbreviation already used for another company,Rövidítést már használja egy másik cég,
Abbreviation is mandatory,Rövidítés kötelező,
Above,Fent,
Academics User,Akadémiai felhasználó,
Accepted,Elfogadva,
Accepted Qty,Elfogadva,
Accepted Quantity,Elfogadott mennyiség,
Accepted Warehouse,Elfogadott raktárkészlet,
Access Token,Hozzáférési token,
Account,számla,
Account Balance,Számla egyenleg,
Account Currency,A fiók pénzneme,
Account Details,Számla adatok,
Account Head,Számla fejléc,
Account Manager,Fiókkezelő,
Account Missing,Hiányzik a fiók,
Account Name,Számla név,
Account Not Found,Fiók nem található,
Account Number,Számla száma,
Account Number {0} already used in account {1},A(z) {1} fiókban már használta a {0} számla számot,
Account Paid From,Kiegyenlített számla ettől:,
Account Paid To,Számla kifizetve ennek:,
Account Pay Only,Számla csak fizetésre,
Account Subtype,Fiók altípusa,
Account Type,Számla típus,
Account Value,Számlaérték,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Számlaegyenleg már tőlünk követel, akkor nem szabad beállítani ""Ennek egyenlege""-t,  ""Nekünk tartozik""-ra",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Számlaegyenleg már Nekünk tartozik, akkor nem szabad beállítani ""Ennek egyenlege"", mint ""Tőlünk követel""",
Account for Change Amount,Átváltási összeg számlája,
Account is mandatory to get payment entries,A fizetési bejegyzéshez a számla kötelező,
Account is not set for the dashboard chart {0},A fiók nincs beállítva az irányítópult diagramjára: {0},
Account with child nodes cannot be converted to ledger,Al csomópontokkal rendelkező számlát nem lehet átalakítani főkönyvi számlává,
Account with child nodes cannot be set as ledger,Al csomópontokkal rendelkező számlát nem lehet beállítani főkönyvi számlává,
Account with existing transaction can not be converted to group.,Meglévő tranzakcióval rendelkező számla nem konvertálható csoporttá.,
Account with existing transaction can not be deleted,Meglévő tranzakcióval rendelkező számla nem törölhető.,
Account with existing transaction cannot be converted to ledger,Meglévő tranzakcióval rendelkező számla nem konvertálható főkönyvi számlává.,
Account {0} does not belong to company: {1},A {0}számlához nem tartozik ez a Vállalat: {1},
Account {0} does not belongs to company {1},A {0}számlához nem tartozik a {1} vállalat,
Account {0} does not exist,A {0} számla nem létezik,
Account {0} does not exists,A {0} számla nem létezik,
Account {0} does not exists in the dashboard chart {1},A (z) {0} fiók nem létezik az {1} irányítópult-táblán,
Account {0} does not match with Company {1} in Mode of Account: {2},Számla {0} nem egyezik ezzel a vállalkozással {1} ebben a módban: {2},
Account {0} exists in parent company {1}.,A {0} fiók létezik az anyavállalatnál {1}.,
Account {0} has been entered multiple times,A {0} számlát már többször bevitték,
Account {0} is added in the child company {1},A (z) {0} számla hozzáadódik a (z) {1} gyermekvállalathoz,
Account {0} is frozen,A {0} számla zárolt,
Account {0} is invalid. Account Currency must be {1},A {0} számla érvénytelen. A számla pénzneme legyen {1},
